Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
8/29/20 7:48 PM,5-2902,Sale,35.00,0.00,35.00,0.00,35.00,0.00,35.00,Cash,"1 x Salted Egg Chicken, 1 x Stoner Fries, 1 x Tea (Iced), 1 x Mineral Water (Iced)",Table 10,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:46 PM,5-2901,Sale,28.50,0.00,28.50,0.00,28.50,0.00,28.50,Cash,"1 x Tom Yam Fried Rice (Chicken), 1 x Nasi Goreng Kampung (Chicken), 1 x Yeung Chow Fried Rice (Chicken)",Table 14,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:42 PM,5-2900,Sale,56.00,0.00,56.00,0.00,56.00,0.00,56.00,Card,"2 x Aglio Olio (Chicken), 1 x Creme Brulee Latte (Iced), 1 x Mocha (Iced), 1 x Mineral Water (Iced)",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:38 PM,5-2899,Sale,3.00,0.00,3.00,0.00,3.00,0.00,3.00,Cash,1 x Mineral Water (Iced),Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:38 PM,5-2898,Sale,54.00,0.00,54.00,0.00,54.00,0.00,54.00,Cash,"2 x Carbonara (Chicken), 1 x Carbonara (Seafood), 1 x Tea (Iced), 1 x Mineral Water (Iced), 1 x Peach Tea (Iced)",Table 16,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:32 PM,5-2897,Sale,30.00,0.00,30.00,0.00,30.00,0.00,30.00,Cash,"1 x Kinder Bueno Affle, 1 x Chocolate Nutella",Table 8,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:30 PM,5-2896,Sale,30.50,0.00,30.50,0.00,30.50,0.00,30.50,Cash,"1 x Carbonara (Beef), 1 x Chocolate Fudgy Brownies",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:29 PM,5-2895,Sale,29.00,0.00,29.00,0.00,29.00,0.00,29.00,Cash,"2 x Salted Caramel Latte (Iced), 1 x Tea (Iced)",Table 5,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:29 PM,5-2894,Sale,27.00,0.00,27.00,0.00,27.00,0.00,27.00,Cash,"1 x Butter Chicken, 1 x Salted Egg Chicken",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:26 PM,5-2893,Sale,55.00,0.00,55.00,0.00,55.00,0.00,55.00,Cash,"1 x Mac & Cheese (Chicken), 1 x Marinated Pan Seared Grilled Chicken (Fries), 1 x Crusted Chicken Chop Chop (Fries), 2 x A&W Root Beer, 1 x Mineral Water (Iced)",Table 7,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:17 PM,5-2892,Sale,30.00,0.00,30.00,0.00,30.00,0.00,30.00,Cash,"1 x Chocolate Nutella, 1 x Kinder Bueno Affle",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:15 PM,5-2891,Sale,38.00,0.00,38.00,0.00,38.00,0.00,38.00,Cash,"1 x Earl Grey, 2 x Stoner Fries",Table 1,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:14 PM,5-2890,Sale,12.00,10.00,2.00,0.00,2.00,0.00,2.00,Cash,1 x Yeung Chow Fried Rice (Seafood),Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:13 PM,5-2889,Sale,1.50,0.00,1.50,0.00,1.50,0.00,1.50,Cash,1 x Extras,Table 13,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:09 PM,5-2888,Sale,51.00,0.00,51.00,0.00,51.00,0.00,51.00,Cash,"1 x Mac & Cheese (Chicken), 1 x Creamy Curry (Chicken), 1 x Crusted Chicken Chop Chop (Fries), 2 x Mineral Water (Iced)",Table 8,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:02 PM,5-2887,Sale,15.00,3.00,12.00,0.00,12.00,0.00,12.00,Card,1 x Marinated Pan Seared Grilled Chicken (White Rice),Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:59 PM,5-2886,Sale,45.00,0.00,45.00,0.00,45.00,0.00,45.00,Cash,"1 x Butter Chicken, 1 x Aglio Olio (Chicken), 1 x Sprite, 1 x Stoner Fries",Table 13,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:53 PM,5-2885,Sale,33.00,0.00,33.00,0.00,33.00,0.00,33.00,Card,"1 x Butter Chicken, 1 x Salted Egg Chicken, 2 x Tea (Iced)",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 6:49 PM,5-2884,Sale,21.00,0.00,21.00,0.00,21.00,0.00,21.00,Cash,"1 x Tom Yam Fried Rice (Chicken), 1 x Latte (Iced)",Table 11,POS 2020,Glaze Eatery,Owner,,,Closed
